epoch,accuracy,f1,loss,val_accuracy,val_f1,val_loss
0,0.5748299360275269,0.573352575302124,1.0042084455490112,0.5699999928474426,0.4999999403953552,0.7120141386985779
1,0.615646243095398,0.6151994466781616,0.8626241087913513,0.7900000214576721,0.7812499403953552,0.483639121055603
2,0.615646243095398,0.6147186756134033,0.8466010689735413,0.699999988079071,0.7109374403953552,0.4868491291999817
3,0.6615646481513977,0.6630591154098511,0.7711405158042908,0.6499999761581421,0.6718749403953552,0.5321205854415894
4,0.6615646481513977,0.6611351370811462,0.7591365575790405,0.6399999856948853,0.6640624403953552,0.5216436386108398
5,0.670918345451355,0.6708754301071167,0.7126916646957397,0.6399999856948853,0.6640624403953552,0.4969595968723297
6,0.7108843326568604,0.7123616933822632,0.6639643311500549,0.6600000262260437,0.6796874403953552,0.45427075028419495
7,0.7108843326568604,0.711880624294281,0.6501442790031433,0.6499999761581421,0.6718749403953552,0.44511470198631287
8,0.7057822942733765,0.7068302035331726,0.6041346788406372,0.699999988079071,0.7109374403953552,0.399196982383728
9,0.7185373902320862,0.7194564342498779,0.572226345539093,0.7099999785423279,0.7187499403953552,0.3718968331813812
10,0.7346938848495483,0.7354496717453003,0.5845022797584534,0.7200000286102295,0.7265624403953552,0.3548375070095062
11,0.7559523582458496,0.756012499332428,0.5411234498023987,0.7900000214576721,0.7812499403953552,0.3268059194087982
12,0.7559523582458496,0.7555314302444458,0.55708247423172,0.8799999952316284,0.8515624403953552,0.2964576482772827
13,0.7423469424247742,0.742544412612915,0.5619066953659058,0.8899999856948853,0.8593749403953552,0.2901916801929474
14,0.7465986609458923,0.7462722063064575,0.5277519226074219,0.9100000262260437,0.8749999403953552,0.2768164277076721
15,0.7414966225624084,0.7397787570953369,0.5493841767311096,0.8999999761581421,0.8671874403953552,0.2788717746734619
16,0.75,0.7501202821731567,0.5560705661773682,0.8500000238418579,0.8281249403953552,0.2975418269634247
17,0.771258533000946,0.7716450095176697,0.512519896030426,0.8500000238418579,0.8281249403953552,0.30313339829444885
18,0.7585033774375916,0.7585377097129822,0.5327877998352051,0.8999999761581421,0.8671874403953552,0.2758094370365143
19,0.7636054158210754,0.7626262903213501,0.5021263360977173,0.9100000262260437,0.9296874403953552,0.27045580744743347
20,0.7823129296302795,0.7830687165260315,0.4857538938522339,0.9100000262260437,0.9296874403953552,0.2750149667263031
21,0.771258533000946,0.7711639404296875,0.49646151065826416,0.9300000071525574,0.9453124403953552,0.26202192902565
22,0.7772108912467957,0.7770562767982483,0.47895175218582153,0.8999999761581421,0.9218749403953552,0.2686574459075928
23,0.7653061151504517,0.7652717232704163,0.4971999228000641,0.8999999761581421,0.9218749403953552,0.26439568400382996
24,0.7848639488220215,0.7836700081825256,0.48769909143447876,0.9399999976158142,0.9531249403953552,0.2625923454761505
25,0.7899659872055054,0.7906444668769836,0.46808645129203796,0.9399999976158142,0.9531249403953552,0.2551012933254242
26,0.7967687249183655,0.7954543828964233,0.4428248405456543,0.9399999976158142,0.9531249403953552,0.25882643461227417
27,0.7942177057266235,0.7934101819992065,0.4697853624820709,0.9700000286102295,0.9765625,0.23543308675289154
28,0.8001700639724731,0.8012264370918274,0.4504287540912628,0.9700000286102295,0.9765624403953552,0.21497565507888794
29,0.7695578336715698,0.771404504776001,0.47696155309677124,0.9700000286102295,0.9765625,0.22849547863006592
30,0.7772108912467957,0.7765752077102661,0.4676212668418884,0.9700000286102295,0.9765625,0.23051553964614868
31,0.7814626097679138,0.7812649607658386,0.45563456416130066,0.9700000286102295,0.9765625,0.2350175827741623
32,0.807823121547699,0.8073592782020569,0.4231260418891907,0.9599999785423279,0.9687499403953552,0.24158872663974762
33,0.8001700639724731,0.7988215088844299,0.4595712125301361,0.9300000071525574,0.8906249403953552,0.24854843318462372
